y,x,ref,highway,street_count,geometry
40.7188498,-73.9747446,,traffic_signals,4,POINT (-73.97474459999999 40.7188498)
40.7835427,-73.9853308,,motorway_junction,3,POINT (-73.9853308 40.7835427)
40.8442431,-73.9337066,,traffic_signals,4,POINT (-73.93370659999999 40.8442431)
40.8461493,-73.9323138,,traffic_signals,3,POINT (-73.9323138 40.8461493)
40.8026802,-73.9326138,,motorway_junction,3,POINT (-73.9326138 40.8026802)
40.8033714,-73.9329248,,traffic_signals,4,POINT (-73.9329248 40.8033714)
40.8027007,-73.9334044,,traffic_signals,4,POINT (-73.9334044 40.8027007)
40.71325,-73.977586,,traffic_signals,5,POINT (-73.977586 40.71325)
40.7124485,-73.9777809,,,3,POINT (-73.9777809 40.7124485)
40.7107361,-73.9816369,,,3,POINT (-73.9816369 40.7107361)
40.7858009,-73.9837441,,motorway_junction,3,POINT (-73.9837441 40.7858009)
40.7237914,-74.006113,,traffic_signals,5,POINT (-74.006113 40.7237914)
40.724504,-74.007029,,,5,POINT (-74.007029 40.724504)
40.7210513,-73.9747141,5,motorway_junction,3,POINT (-73.9747141 40.7210513)
40.7589757,-73.964501,,traffic_signals,3,POINT (-73.964501 40.7589757)
40.7596362,-73.9639971,,traffic_signals,4,POINT (-73.9639971 40.7596362)
40.7595738,-73.960551,,,3,POINT (-73.960551 40.7595738)
40.766876,-73.979076,,traffic_signals,3,POINT (-73.97907600000001 40.766876)
40.7620792,-73.9619892,,traffic_signals,4,POINT (-73.9619892 40.7620792)
40.738358,-73.9737798,,,3,POINT (-73.9737798 40.738358)
40.7588307,-73.9987308,,,3,POINT (-73.9987308 40.7588307)
40.7593876,-73.9969538,,,3,POINT (-73.9969538 40.7593876)
40.7588687,-73.9992177,,,3,POINT (-73.9992177 40.7588687)
40.7577413,-73.9968472,,traffic_signals,4,POINT (-73.9968472 40.7577413)
40.7828637,-73.943749,,traffic_signals,5,POINT (-73.943749 40.7828637)
40.7803049,-73.9856663,,traffic_signals,3,POINT (-73.98566630000001 40.7803049)
40.7606212,-73.9643559,,traffic_signals,5,POINT (-73.9643559 40.7606212)
40.794774,-73.9304732,16,motorway_junction,3,POINT (-73.93047319999999 40.794774)
40.7944866,-73.9318124,,,3,POINT (-73.9318124 40.7944866)
40.793786,-73.9322343,,,3,POINT (-73.9322343 40.793786)
40.7696458,-73.9483958,,,3,POINT (-73.9483958 40.7696458)
40.7687012,-73.9491484,,,3,POINT (-73.9491484 40.7687012)
40.769378,-73.9950384,,traffic_signals,3,POINT (-73.9950384 40.769378)
40.7794868,-73.9735933,,traffic_signals,3,POINT (-73.9735933 40.7794868)
40.817189,-73.934463,,stop,4,POINT (-73.93446299999999 40.817189)
40.7217241,-74.0067668,1,motorway_junction,3,POINT (-74.00676679999999 40.7217241)
40.7211998,-74.0079995,2,motorway_junction,3,POINT (-74.0079995 40.7211998)
40.7209099,-74.0078146,3,motorway_junction,3,POINT (-74.0078146 40.7209099)
