,node,y,x,ref,highway,street_count
10925,42513586,40.649482,-73.973353,,,4
10926,42513595,40.636506,-73.915714,,,4
10927,42513599,40.635013,-73.914048,,traffic_signals,4
10928,42513603,40.63329,-73.912133,,,3
10929,42513623,40.713347,-73.941385,,,3
10930,42513628,40.712666,-73.941041,,traffic_signals,4
10931,42513634,40.711962,-73.940688,,,4
10932,42513647,40.711218,-73.940423,,,3
10933,42513654,40.70839,-73.939958,,,4
10934,42513657,40.707654,-73.939838,,,4
10935,42513666,40.7047968,-73.9393927,,traffic_signals,3
10936,42513684,40.7027103,-73.9373154,,,3
10937,42513686,40.701303,-73.936729,,,3
10938,42513688,40.7006415,-73.9364499,,traffic_signals,4
10939,42513694,40.6987069,-73.9347759,,traffic_signals,4
10940,42513699,40.6982713,-73.9339944,,traffic_signals,4
10941,42513705,40.6978474,-73.9332321,,traffic_signals,4
10942,42513709,40.697315,-73.932267,,,4
10943,42513719,40.69584,-73.929584,,,3
10944,42513723,40.695205,-73.928431,,,3
10945,42513726,40.695111,-73.928259,,traffic_signals,3
10946,42513729,40.694697,-73.927497,,,3
10947,42513732,40.694548,-73.927227,,traffic_signals,3
10948,42513737,40.69428,-73.926736,,traffic_signals,3
10949,42513748,40.693724,-73.925715,,traffic_signals,3
10950,42513757,40.693315,-73.924951,,,3
10951,42513771,40.692626,-73.923672,,traffic_signals,3
10952,42513775,40.691823,-73.92223,,traffic_signals,4
10953,42513778,40.691353,-73.921411,,traffic_signals,4
10954,42513780,40.690927,-73.920657,,traffic_signals,4
10955,42513788,40.688361,-73.916147,,traffic_signals,4
10956,42513791,40.687936,-73.915395,,traffic_signals,4
10957,42513800,40.686652,-73.91314,,traffic_signals,4
10958,42513805,40.686224,-73.912389,,traffic_signals,4
10959,42513809,40.685796,-73.911637,,traffic_signals,4
10960,42513813,40.685369,-73.910887,,traffic_signals,4
10961,42513816,40.684939,-73.910132,,traffic_signals,4
10962,42513819,40.684086,-73.908629,,traffic_signals,4
10963,42513823,40.683657,-73.907878,,traffic_signals,4
10964,42513826,40.68323,-73.907126,,traffic_signals,4
10965,42513834,40.682383,-73.905641,,traffic_signals,4
10966,42513839,40.681092,-73.903371,,,4
10967,42513844,40.679442,-73.900283,,traffic_signals,3
10968,42513847,40.679223,-73.899849,,,3
10969,42513851,40.6787387,-73.8988724,,,4
10970,42513863,40.618408,-73.958179,,,3
10971,42513874,40.616911,-73.962663,,,4
10972,42513883,40.617501,-73.960888,,,4
10973,42513897,40.64372,-73.941092,,,4
10974,42513900,40.641424,-73.940848,,,4
10975,42513903,40.639083,-73.940597,,,4
10976,42513907,40.634475,-73.940108,,,4
10977,42513910,40.632135,-73.939854,,traffic_signals,3
10978,42513919,40.622827,-73.938412,,,4
10979,42513924,40.621858,-73.938229,,traffic_signals,4
10980,42513931,40.620437,-73.937962,,,4
10981,42513940,40.618867,-73.939002,,,3
10982,42513941,40.617217,-73.937163,,,4
10983,42513943,40.613953,-73.933528,,,4
10984,42513946,40.610688,-73.929887,,,4
10985,42513947,40.609055,-73.928066,,traffic_signals,4
10986,42513949,40.607414,-73.926249,,,4
10987,42513956,40.631358,-73.93978,,,1
10988,42513959,40.629795,-73.939605,,,4
10989,42513961,40.627458,-73.939356,,traffic_signals,4
10990,42513963,40.6256,-73.939157,,,3
10991,42513967,40.611607,-73.919706,,traffic_signals,4
10992,42513969,40.6373789,-73.9239821,,,4
10993,42513971,40.635485,-73.923803,,traffic_signals,4
10994,42513972,40.633146,-73.923556,,traffic_signals,4
10995,42513975,40.630808,-73.923305,,traffic_signals,4
10996,42513977,40.629143,-73.923128,,traffic_signals,4
10997,42513980,40.628467,-73.923055,,traffic_signals,4
10998,42513983,40.626131,-73.922806,,,4
10999,42513988,40.623858,-73.922563,,,4
11000,42513992,40.621658,-73.92233,,,4
11001,42513995,40.619249,-73.922072,,,4
11002,42513998,40.616911,-73.921823,,,4
11003,42514023,40.648479,-73.925186,,traffic_signals,4
11004,42514050,40.6447387,-73.924929,,traffic_signals,4
11005,42514053,40.6424475,-73.9245252,,,3
11006,42514061,40.646272,-73.919905,,,3
11007,42514065,40.6471008,-73.918618,,,3
