,filtered_street,WEIGHT
1074,Bell Boulevard,96.0
1075,Bellaire Place,3.0
1076,Bellamy Loop,4.0
1077,Belmont Avenue,97.0
1078,Belt Parkway,2469.0
1079,Bement Avenue,14.0
1080,Benchley Place,2.0
1081,Benedict Avenue,5.0
1082,Benham Street,1.0
1083,Bennett Avenue,10.0
1084,Bennett Street,3.0
1085,Benson Avenue,39.0
1086,Benson Street,2.0
1087,Bentley Street,1.0
1088,Benton Street,1.0
1089,Benziger Avenue,3.0
1090,Bergen Avenue,29.0
1091,Bergen Court,2.0
1092,Bergen Street,106.0
1093,Berkeley Place,3.0
1094,Berrian Boulevard,1.0
1095,Berriman Street,19.0
1096,Berry Street,41.0
1097,Bertram Avenue,1.0
1098,Bessemund Avenue,1.0
1099,Bethel Avenue,1.0
1100,Bethel Loop,1.0
1101,Bethune Street,4.0
1102,Betts Avenue,1.0
1103,Beverley Road,162.0
1104,Beverly Road,4.0
1105,Bianca Court,1.0
1106,Bidwell Avenue,1.0
1107,Billings Place,1.0
1108,Birch Avenue,3.0
1109,Birch Road,3.0
1110,Birdsall Avenue,2.0
1111,Bishop Street,1.0
1112,Bivona Street,3.0
1113,Blackrock Avenue,1.0
1114,Blackstone Avenue,1.0
1115,Blair Avenue,1.0
1116,Blake Avenue,113.0
1117,Bleecker Street,87.0
1118,Bleeker Place,1.0
1119,Blondell Avenue,6.0
1120,Bloomfield Avenue,3.0
1121,Bloomingdale Road,13.0
1122,Blossom Avenue,5.0
1123,Boardwalk,3.0
1124,Bodine Street,1.0
1125,Boerum Place,41.0
1126,Boerum Street,20.0
1127,Bogart Avenue,2.0
1128,Bogart Street,14.0
1129,Bokee Court,1.0
1130,Bolivar Street,1.0
1131,Boller Avenue,11.0
1132,Bolton Avenue,13.0
1133,Bolton Street,1.0
1134,Bond Street,45.0
1135,Boody Street,6.0
1136,Boone Avenue,13.0
1137,Booth Memorial Avenue,31.0
1138,Booth Street,8.0
1139,Borden Avenue,163.0
1140,Borinquen Place,26.0
1141,Borkel Place,1.0
1142,Borough Place,1.0
1143,Boscobel Place,4.0
1144,Boscombe Avenue,7.0
1145,Boston Road,515.0
1146,Bouck Avenue,9.0
1147,Boundary Avenue,1.0
1148,Bowen Street,4.0
1149,Bowery,137.0
1150,Bowery Street,3.0
1151,Bowne Street,22.0
1152,Box Street,8.0
1153,Boyd Avenue,3.0
1154,Boyland Street,107.0
1155,Boynton Avenue,12.0
1156,Brabant Street,1.0
1157,Braddock Avenue,23.0
1158,Bradford Street,27.0
1159,Bradhurst Avenue,25.0
1160,Bradley Avenue,22.0
1161,Brady Avenue,13.0
1162,Bragg Street,11.0
1163,Braisted Avenue,1.0
1164,Brandis Avenue,1.0
1165,Brandt Place,1.0
1166,Brenton Place,1.0
1167,Brevoort Place,1.0
1168,Brewer Boulevard,200.0
1169,Bridge Street,17.0
1170,Bridgeton Street,2.0
1171,Bridgewater Street,4.0
1172,Brielle Avenue,14.0
1173,Briggs Avenue,34.0
1174,Brigham Street,9.0
1175,Brighton 1 Place,3.0
1176,Brighton 1 Street,5.0
1177,Brighton 10 Street,3.0
1178,Brighton 11 Street,10.0
1179,Brighton 12 Street,4.0
1180,Brighton 13 Street,2.0
1181,Brighton 14 Street,2.0
1182,Brighton 15 Street,1.0
1183,Brighton 2 Street,9.0
1184,Brighton 3 Street,10.0
1185,Brighton 4 Street,7.0
1186,Brighton 5 Street,3.0
1187,Brighton 6 Street,12.0
1188,Brighton 7 Street,4.0
1189,Brighton 8 Street,2.0
1190,Brighton Avenue,3.0
1191,Brighton Beach Avenue,70.0
1192,Brighton Court,4.0
1193,Brightwater Court,12.0
1194,Brinkerhoff Avenue,4.0
1195,Brinsmade Avenue,3.0
1196,Brisbin Street,7.0
1197,Bristol Street,39.0
1198,Bristow Street,8.0
1199,Britton Avenue,8.0
1200,Britton Street,6.0
1201,Broad Street,29.0
1202,Broadway,1874.0
1203,Broadway Terrace,5.0
1204,Brocher Road,2.0
1205,Bronx Boulevard,57.0
1206,Bronx Park Avenue,7.0
1207,Bronx Park East,79.0
1208,Bronx Park South,13.0
1209,Bronx River Avenue,93.0
1210,Bronx River Parkway,537.0
1211,Bronx River Parkway Ramp,1.0
1212,Bronx Whitestone Bridge,27.0
1213,Bronxdale Avenue,48.0
1214,Bronxwood Avenue,98.0
1215,Brook Avenue,89.0
1216,Brook Street,7.0
1217,Brookdale Plaza,5.0
1218,Brookhaven Avenue,17.0
1219,Brooklyn Avenue,192.0
1220,Brooklyn Battery Tunnel,8.0
1221,Brooklyn Bridge,25.0
1222,Brooklyn Qns Expressway,10.0
1223,Brooklyn Queens Expressway,1448.0
1224,Brooklyn Queens Expressway Ramp,13.0
1225,Brooklyn Queens Expy (Cdr),1.0
1226,Brooks Pond Place,1.0
1227,Brookside Street,3.0
1228,Brookville Boulevard,115.0
1229,Broome Street,51.0
1230,Brown Place,8.0
1231,Brown Street,15.0
1232,Browvale Lane,1.0
1233,Bruckner Avenue,1.0
1234,Bruckner Boulevard,942.0
1235,Bruckner Expressway,665.0
1236,Bruckner Expressway Ramp,4.0
1237,Bruner Avenue,19.0
1238,Brunswick Avenue,1.0
1239,Brush Avenue,35.0
1240,Bryant Avenue,50.0
1241,Bryant Park,4.0
1242,Bryant Street,1.0
1243,Buchanan Place,2.0
1244,Buck Street,3.0
1245,Bud Place,1.0
1246,Buel Avenue,4.0
1247,Buell Street,1.0
1248,Buffalo Avenue,67.0
1249,Buffalo Street,6.0
1250,Buhre Avenue,11.0
1251,Bullard Avenue,4.0
1252,Bulova Avenue,1.0
1253,Bulwer Place,1.0
1254,Burbank Avenue,2.0
1255,Burden Crescent,1.0
1256,Burgher Avenue,3.0
1257,Burke Avenue,54.0
1258,Burling Street,4.0
1259,Burnett Street,2.0
1260,Burns Street,10.0
1261,Burr Avenue,3.0
1262,Bush Avenue,1.0
1263,Bush Street,1.0
1264,Bushwick Avenue,543.0
1265,Bushwick Place,2.0
1266,Bussing Avenue,22.0
1267,Butler Avenue,1.0
1268,Butler Place,6.0
1269,Butler Street,12.0
1270,Buttrick Avenue,1.0
1271,Byron Avenue,10.0
1272,Cabot Road,1.0
1273,Cabrini Boulevard,2.0
1274,Cadman Plaza East,4.0
1275,Cadman Plaza West,33.0
1276,Caffrey Avenue,8.0
1277,Calamus Avenue,6.0
1278,Caldwell Avenue,7.0
1279,Calhoun Avenue,3.0
1280,Calloway Street,11.0
1281,Calyer Street,15.0
1282,Cambreleng Avenue,2.0
1283,Cambria Avenue,1.0
1284,Cambridge Avenue,6.0
1285,Cambridge Place,1.0
1286,Cameron Place,4.0
1287,Campbell Avenue,1.0
1288,Campus Road,12.0
1289,Canal Avenue,1.0
1290,Canal Place,7.0
1291,Canal Street,261.0
1292,Canarsie Road,9.0
1293,Caney Lane,3.0
1294,Caney Road,4.0
1295,Cannon Boulevard,1.0
1296,Cannon Place,6.0
1297,Canterbury Avenue,3.0
1298,Capodanno Boulevard,64.0
1299,Carlton Avenue,25.0
1300,Carlton Boulevard,1.0
1301,Carlyle Green,1.0
1302,Carmine Street,4.0
1303,Caroll Street,1.0
1304,Carpenter Avenue,47.0
1305,Carroll Place,1.0
1306,Carroll Street,30.0
1307,Carson Street,2.0
1308,Carter Avenue,8.0
1309,Carteret Street,3.0
1310,Carver Loop,4.0
1311,Cary Avenue,12.0
1312,Casals Place,4.0
1313,Casanova Street,6.0
1314,Case Street,7.0
1315,Cass Place,4.0
1316,Cassidy Place,1.0
1317,Castle Hill Avenue,116.0
1318,Castleton Avenue,75.0
1319,Catalpa Avenue,21.0
1320,Cathedral Parkway,17.0
1321,Cathedral Place,1.0
1322,Catherine Street,3.0
1323,Caton Avenue,80.0
1324,Cauldwell Avenue,43.0
1325,Cayuga Avenue,1.0
1326,Cebra Avenue,3.0
1327,Cedar Avenue,24.0
1328,Cedar Lawn Avenue,2.0
1329,Cedar Street,10.0
1330,Cedar Terrace,1.0
1331,Center Boulevard,1.0
1332,Center Drive,3.0
1333,Center Place,1.0
1334,Central Avenue,158.0
1335,Central Park North,13.0
1336,Central Park South,25.0
1337,Central Park West,112.0
1338,Centre Mall,1.0
1339,Centre Street,58.0
1340,Centreville Avenue,14.0
1341,Chambers Street,47.0
1342,Chandler Street,2.0
1343,Channel Avenue,3.0
1344,Chapel Street,3.0
1345,Chapin Parkway,4.0
1346,Chappell Street,1.0
1347,Charles Avenue,6.0
1348,Charles Street,11.0
1349,Charleston Avenue,3.0
1350,Charlton Street,2.0
1351,Chase Court,1.0
1352,Chatham Square,1.0
1353,Chatterton Avenue,16.0
1354,Chauncey Street,34.0
1355,Cheever Place,2.0
1356,Chelsea Road,3.0
1357,Chelsea Street,3.0
1358,Cherry Avenue,12.0
1359,Cherry Street,13.0
1360,Chester Avenue,2.0
1361,Chester Court,1.0
1362,Chester Place,1.0
1363,Chester Street,48.0
1364,Chesterton Avenue,2.0
1365,Chestnut Avenue,1.0
1366,Chestnut Circle,1.0
1367,Chestnut Drive North,1.0
1368,Chestnut Street,21.0
1369,Chevy Chase Street,1.0
1370,Chisholm Street,5.0
1371,Chisum Place,2.0
1372,Christie Avenue,3.0
1373,Christopher Lane,7.0
1374,Christopher Street,16.0
1375,Chrystie Street,73.0
1376,Church Avenue,400.0
1377,Church Street,46.0
1378,Circle Loop,1.0
1379,City Island Avenue,64.0
1380,City Island Bridge,10.0
1381,City Island Road,2.0
1382,Claflin Avenue,6.0
1383,Clara Street,3.0
1384,Claremont Avenue,6.0
1385,Claremont Parkway,60.0
1386,Clarence Avenue,1.0
1387,Clarendon Road,127.0
1388,Clark Street,1.0
1389,Clarke Avenue,4.0
1390,Clarkson Avenue,129.0
1391,Clarkson Street,11.0
1392,Classon Avenue,100.0
1393,Claude Avenue,5.0
1394,Claver Place,1.0
1395,Clawson Street,7.0
1396,Clay Avenue,49.0
1397,Clay Street,4.0
1398,Clearview Expressway,202.0
1399,Clermont Avenue,22.0
1400,Cleveland Avenue,6.0
1401,Cleveland Place,1.0
1402,Cleveland Street,33.0
1403,Clifford Place,3.0
1404,Clifton Avenue,5.0
1405,Clifton Place,13.0
1406,Clinton Avenue,44.0
1407,Clinton Place,1.0
1408,Clinton Street,89.0
1409,Clintonville Street,11.0
1410,Cloister Place,1.0
1411,Close Avenue,5.0
1412,Clove Road,102.0
1413,Clover Place,6.0
1414,Cloverdale Boulevard,7.0
1415,Clyde Street,4.0
1416,Clymer Street,18.0
1417,Coddington Avenue,14.0
1418,Cody Avenue,3.0
1419,Cody Place,1.0
1420,Coffey Street,3.0
1421,Cohancy Street,5.0
1422,Colden Avenue,11.0
1423,Colden Street,6.0
1424,Coldspring Road,1.0
1425,Coleman Street,7.0
1426,Coleridge Street,1.0
1427,Colfax Street,1.0
1428,Colgate Avenue,13.0
1429,College Avenue,27.0
1430,College Place,3.0
1431,College Point Boulevard,227.0
1432,Collier Avenue,4.0
1433,Collins Place,1.0
1434,Colon Avenue,1.0
1435,Colonial Avenue,2.0
1436,Colonial Road,20.0
1437,Colony Avenue,3.0
1438,Columbia Heights,4.0
1439,Columbia Street,50.0
1440,Columbus Avenue,109.0
1441,Columbus Circle,17.0
1442,Columbus Place,1.0
1443,Commerce Avenue,16.0
1444,Commerce Street,1.0
1445,Commercial Street,3.0
1446,Commonwealth Boulevard,11.0
1447,Commonwlth Avenue,13.0
1448,Compton Avenue,1.0
1449,Comstock Avenue,2.0
1450,Concord Avenue,15.0
1451,Concord Street,8.0
1452,Concourse Village East,12.0
1453,Concourse Village West,11.0
1454,Conduit Avenue,4.0
1455,Conduit Boulevard,69.0
1456,Coney Island Avenue,361.0
1457,Congress Street,5.0
1458,Conklin Avenue,21.0
1459,Conner Street,65.0
1460,Conover Street,10.0
1461,Conselyea Street,4.0
1462,Continental Avenue,3.0
1463,Convent Avenue,42.0
1464,Conway Street,12.0
1465,Conyingham Avenue,1.0
1466,Cook Street,5.0
1467,Coolidge Avenue,5.0
1468,Coombs Street,1.0
1469,Coonley Court,1.0
1470,Coop City Boulevard,31.0
1471,Cooper Avenue,92.0
1472,Cooper Square,3.0
1473,Cooper Street,33.0
1474,Copley Street,3.0
1475,Corbett Road,1.0
1476,Corbin Avenue,1.0
1477,Corbin Place,11.0
1478,Corlear Avenue,7.0
1479,Cornaga Avenue,22.0
1480,Cornaga Court,1.0
1481,Cornelia Avenue,1.0
1482,Cornelia Street,43.0
1483,Cornish Avenue,1.0
1484,Corona Avenue,84.0
1485,Correll Avenue,1.0
1486,Corsa Avenue,5.0
1487,Corson Avenue,2.0
1488,Cortelyou Avenue,4.0
1489,Cortelyou Road,105.0
1490,Cortlandt Street,5.0
1491,Coster Street,8.0
1492,Country Club Road,6.0
1493,Country Point Circle,3.0
1494,Court Square,3.0
1495,Court Street,63.0
1496,Courtlandt Avenue,19.0
1497,Coverly Avenue,1.0
1498,Covert Street,16.0
1499,Covington Circle,1.0
1500,Cowen Place,1.0
1501,Coyle Street,5.0
1502,Cozine Avenue,58.0
1503,Craft Avenue,1.0
1504,Craig Avenue,8.0
1505,Crandall Avenue,3.0
1506,Cranford Avenue,9.0
1507,Cranford Street,3.0
1508,Cranston Street,3.0
1509,Crawford Avenue,6.0
1510,Creamer Street,2.0
1511,Crescent Avenue,4.0
1512,Crescent Street,182.0
1513,Cresskill Place,1.0
1514,Creston Avenue,51.0
1515,Crittenden Place,2.0
1516,Crocheron Avenue,15.0
1517,Croes Avenue,13.0
1518,Crommelin Street,1.0
1519,Cromwell Avenue,15.0
1520,Crooke Avenue,9.0
1521,Cropsey Avenue,175.0
1522,Crosby Avenue,35.0
1523,Crosby Street,6.0
1524,Cross Bay Boulevard,266.0
1525,Cross Bronx Expressway,172.0
1526,Cross Bronx Expy,984.0
1527,Cross Bronx Expy Ramp,2.0
1528,Cross Bronx Extention,18.0
1529,Cross Island Parkway,868.0
1530,Cross Street,3.0
1531,Crotona Avenue,80.0
1532,Crotona Park East,16.0
1533,Crotona Park North,24.0
1534,Crotona Park South,4.0
1535,Crotona Parkway,13.0
1536,Crown Street,24.0
1537,Croydon Road,1.0
1538,Cruger Avenue,27.0
1539,Crystal Avenue,3.0
1540,Crystal Street,6.0
1541,Cumberland Street,5.0
1542,Cumming Street,3.0
1543,Curtis Place,2.0
1544,Curtis Street,1.0
1545,Curzon Road,1.0
1546,Cuthbert Road,1.0
1547,Cypress Avenue,153.0
1548,Cypress Hill Street,11.0
1549,Cypress Hills Street,28.0
1550,Cyrus Avenue,4.0
1551,Cyrus Place,1.0
1552,Dahill Road,45.0
1553,Dahlgren Place,2.0
1554,Dahlia Avenue,2.0
1555,Dalny Road,6.0
1556,Daly Avenue,7.0
1557,Daniel Low Terrace,2.0
1558,Daniels Street,1.0
1559,Dark Street,3.0
1560,Darlington Avenue,6.0
1561,Darren Drive,1.0
1562,Darrow Place,1.0
1563,Dartmouth Street,2.0
1564,Dash Place,1.0
1565,Davidson Avenue,62.0
1566,Davies Road,2.0
1567,Davis Avenue,3.0
1568,Dawson Street,4.0
1569,Dayna Drive,1.0
1570,De Costa Avenue,1.0
1571,De Graw Street,13.0
1572,De Kalb Avenue,237.0
1573,De Witt Avenue,26.0
1574,Dean Avenue,4.0
1575,Dean Street,119.0
1576,Dearborn Court,1.0
1577,Debevoise Avenue,4.0
1578,Debevoise Street,4.0
1579,Decatur Avenue,32.0
1580,Decatur Street,73.0
1581,Decker Avenue,16.0
1582,Deerfield Road,2.0
1583,Degroot Place,1.0
1584,Dekalb Avenue,11.0
1585,Dekalb Street,7.0
1586,Dekay Street,1.0
1587,Delafield Avenue,8.0
1588,Delancey Street,201.0
1589,Delavall Avenue,2.0
1590,Delaware Avenue,5.0
1591,Delaware Street,3.0
1592,Delevan Street,1.0
1593,Delmar Avenue,4.0
1594,Delmar Loop,1.0
1595,Delmonico Place,1.0
1596,Delong Street,5.0
1597,Denis Street,1.0
1598,Denman Street,1.0
1599,Depot Place,3.0
1600,Depot Road,3.0
1601,Dereimer Avenue,12.0
1602,Desarc Road,1.0
1603,Desmond Court,1.0
1604,Detroit Avenue,2.0
1605,Devoe Avenue,3.0
1606,Devoe Street,11.0
1607,Devoe Terrace,2.0
1608,Devon Loop,1.0
1609,Dewey Avenue,4.0
1610,Dewey Place,1.0
1611,Dewitt Place,7.0
1612,Dexter Court,4.0
1613,Diamond Street,8.0
1614,Dianas Trail,3.0
1615,Dickens Street,9.0
1616,Dickie Avenue,1.0
1617,Dickinson Avenue,1.0
1618,Dieterle Crescent,2.0
1619,Digney Avenue,4.0
1620,Dikeman Street,2.0
1621,Dillon Street,2.0
1622,Dinsmore Avenue,4.0
1623,Dinsmore Place,3.0
1624,Disosway Place,1.0
1625,Ditmars Boulevard,133.0
1626,Ditmars Street,1.0
1627,Ditmas Avenue,98.0
1628,Division Avenue,32.0
1629,Division Place,2.0
1630,Division Street,17.0
1631,Dix Avenue,4.0
1632,Dixon Avenue,4.0
1633,Doane Avenue,1.0
1634,Dobbin Street,4.0
1635,Dodworth Street,3.0
1636,Dogwood Drive,1.0
1637,Dominick Street,2.0
1638,Dongan Avenue,1.0
1639,Dongan Place,4.0
1640,Dongan Street,2.0
1641,Donizetti Place,2.0
1642,Doran Avenue,2.0
1643,Dorchester Road,21.0
1644,Doris Street,5.0
1645,Dormans Road,2.0
1646,Dorset Street,1.0
1647,Doscher Street,6.0
1648,Douglas Avenue,1.0
1649,Douglas Road,1.0
1650,Douglass Street,11.0
1651,Douglaston Parkway,15.0
1652,Dover Street,10.0
1653,Downes Avenue,1.0
1654,Downing Street,11.0
1655,Doyers Street,1.0
1656,Dreiser Loop,9.0
1657,Drew Street,15.0
1658,Driggs Avenue,36.0
1659,Driggs Street,1.0
1660,Drive,1.0
1661,Drumgoole Road East,21.0
1662,Drumgoole Road West,22.0
1663,Dry Harbor Road,12.0
1664,Drysdale Street,1.0
1665,Duane Street,7.0
1666,Dublin Place,1.0
1667,Dubois Avenue,5.0
1668,Dudley Avenue,1.0
1669,Duer Lane,1.0
1670,Duffield Street,13.0
1671,Dumont Avenue,88.0
1672,Duncan Street,6.0
1673,Duncomb Avenue,2.0
1674,Dunkirk Drive,3.0
1675,Dunkirk Street,13.0
1676,Dunne Court,2.0
1677,Dunton Avenue,2.0
1678,Dunton Street,1.0
1679,Dupont Street,1.0
1680,Durant Avenue,1.0
1681,Durland Place,3.0
1682,Duryea Avenue,1.0
1683,Duryea Court,1.0
1684,Dutch Kills Street,2.0
1685,Dutchess Avenue,1.0
1686,Dwight Street,5.0
1687,Dyckman Street,92.0
1688,Dyer Avenue,18.0
1689,Dyre Avenue,13.0
1690,Eagle Avenue,12.0
1691,Eagle Street,6.0
1692,Eames Place,1.0
1693,East 1 Street,13.0
1694,East 10 Street,57.0
1695,East 100 Street,15.0
1696,East 101 Street,24.0
1697,East 102 Street,56.0
1698,East 103 Street,33.0
1699,East 104 Street,30.0
1700,East 105 Street,42.0
1701,East 106 Street,61.0
1702,East 107 Street,10.0
1703,East 108 Street,46.0
1704,East 109 Street,20.0
1705,East 11 Street,21.0
1706,East 110 Street,32.0
1707,East 111 Street,26.0
1708,East 112 Street,37.0
1709,East 113 Street,8.0
1710,East 114 Street,3.0
1711,East 115 Street,42.0
1712,East 116 Street,146.0
1713,East 117 Street,41.0
1714,East 118 Street,38.0
1715,East 119 Street,38.0
1716,East 12 Street,81.0
1717,East 120 Street,28.0
1718,East 121 Street,4.0
1719,East 122 Street,28.0
1720,East 123 Street,25.0
1721,East 124 Street,33.0
1722,East 125 Street,162.0
1723,East 126 Street,32.0
1724,East 127 Street,16.0
1725,East 128 Street,45.0
1726,East 129 Street,30.0
1727,East 13 Street,66.0
1728,East 130 Street,11.0
1729,East 131 Street,13.0
1730,East 132 Street,51.0
1731,East 133 Street,6.0
1732,East 134 Street,39.0
1733,East 135 Street,160.0
1734,East 136 Street,10.0
1735,East 137 Street,37.0
1736,East 138 Street,200.0
1737,East 139 Street,46.0
1738,East 14 Street,123.0
1739,East 140 Street,43.0
1740,East 141 Street,48.0
1741,East 142 Street,19.0
1742,East 143 Street,30.0
1743,East 144 Street,45.0
1744,East 145 Street,14.0
1745,East 146 Street,20.0
1746,East 147 Street,20.0
1747,East 148 Street,6.0
1748,East 149 Street,296.0
1749,East 15 Street,51.0
1750,East 150 Street,29.0
1751,East 151 Street,40.0
1752,East 152 Street,9.0
1753,East 153 Street,17.0
1754,East 154 Street,5.0
1755,East 155 Street,6.0
1756,East 156 Street,74.0
1757,East 157 Street,22.0
1758,East 158 Street,16.0
1759,East 159 Street,7.0
1760,East 16 Street,54.0
1761,East 160 Street,12.0
1762,East 161 Street,183.0
1763,East 162 Street,15.0
1764,East 163 Street,162.0
1765,East 164 Street,34.0
1766,East 165 Street,101.0
1767,East 166 Street,46.0
1768,East 167 Street,91.0
1769,East 168 Street,35.0
1770,East 169 Street,80.0
1771,East 17 Street,58.0
1772,East 170 Street,71.0
1773,East 171 Street,22.0
1774,East 172 Street,56.0
1775,East 173 Street,53.0
1776,East 174 Street,147.0
1777,East 175 Street,74.0
1778,East 176 Street,64.0
1779,East 177 Street,50.0
1780,East 178 Street,55.0
1781,East 179 Street,52.0
1782,East 18 Street,72.0
1783,East 180 Street,109.0
1784,East 181 Street,54.0
1785,East 182 Street,41.0
1786,East 183 Street,39.0
1787,East 184 Street,46.0
1788,East 185 Street,5.0
1789,East 186 Street,1.0
1790,East 187 Street,44.0
1791,East 188 Street,58.0
1792,East 189 Street,19.0
1793,East 19 Street,72.0
1794,East 190 Street,1.0
1795,East 191 Street,2.0
1796,East 192 Street,10.0
1797,East 193 Street,16.0
1798,East 194 Street,25.0
1799,East 195 Street,4.0
1800,East 196 Street,41.0
1801,East 197 Street,10.0
1802,East 198 Street,23.0
1803,East 199 Street,9.0
1804,East 2 Street,34.0
1805,East 20 Street,42.0
1806,East 201 Street,9.0
1807,East 202 Street,5.0
1808,East 203 Street,5.0
1809,East 204 Street,21.0
1810,East 205 Street,5.0
1811,East 206 Street,3.0
1812,East 207 Street,7.0
1813,East 208 Street,13.0
1814,East 209 Street,5.0
1815,East 21 Street,79.0
1816,East 210 Street,8.0
1817,East 211 Street,25.0
1818,East 212 Street,4.0
1819,East 213 Street,24.0
1820,East 214 Street,14.0
1821,East 215 Street,7.0
1822,East 216 Street,20.0
1823,East 217 Street,17.0
1824,East 218 Street,11.0
1825,East 219 Street,12.0
1826,East 22 Street,38.0
1827,East 220 Street,10.0
1828,East 221 Street,20.0
1829,East 222 Street,59.0
1830,East 223 Street,22.0
1831,East 224 Street,28.0
1832,East 225 Street,24.0
1833,East 226 Street,23.0
1834,East 227 Street,16.0
1835,East 228 Street,39.0
1836,East 229 Drive North,1.0
1837,East 229 Street,22.0
1838,East 23 Street,104.0
1839,East 230 Street,12.0
1840,East 231 Street,22.0
1841,East 232 Street,26.0
1842,East 233 Street,263.0
1843,East 234 Street,19.0
1844,East 235 Street,14.0
1845,East 236 Street,37.0
1846,East 237 Street,17.0
1847,East 238 Street,1.0
1848,East 239 Street,12.0
1849,East 24 Street,26.0
1850,East 240 Street,21.0
1851,East 241 Street,41.0
1852,East 242 Street,6.0
1853,East 243 Street,4.0
1854,East 25 Street,25.0
1855,East 26 Street,53.0
1856,East 27 Street,37.0
1857,East 28 Street,54.0
1858,East 29 Street,60.0
1859,East 3 Street,62.0
1860,East 30 Street,20.0
1861,East 31 Street,34.0
1862,East 32 Street,38.0
1863,East 33 Street,23.0
1864,East 34 Street,161.0
1865,East 35 Street,69.0
1866,East 36 Street,53.0
1867,East 37 Street,107.0
1868,East 38 Street,58.0
1869,East 39 Street,36.0
1870,East 4 Street,35.0
1871,East 40 Street,29.0
1872,East 41 Street,19.0
1873,East 42 Street,94.0
1874,East 43 Street,30.0
1875,East 44 Street,15.0
1876,East 45 Street,49.0
1877,East 46 Street,37.0
1878,East 47 Street,14.0
1879,East 48 Street,49.0
1880,East 49 Street,50.0
1881,East 5 Street,36.0
1882,East 50 Street,12.0
1883,East 51 Street,85.0
1884,East 52 Street,70.0
1885,East 53 Street,74.0
1886,East 54 Street,57.0
1887,East 55 Street,52.0
1888,East 56 Street,56.0
1889,East 57 Street,89.0
1890,East 58 Street,49.0
1891,East 59 Street,102.0
1892,East 6 Street,35.0
1893,East 60 Street,51.0
1894,East 61 Street,58.0
1895,East 62 Street,62.0
1896,East 63 Street,50.0
1897,East 64 Street,31.0
1898,East 65 Street,35.0
1899,East 66 Street,47.0
1900,East 67 Street,30.0
1901,East 68 Street,23.0
1902,East 69 Street,16.0
1903,East 7 Street,41.0
1904,East 70 Street,25.0
1905,East 71 Street,36.0
1906,East 72 Street,44.0
1907,East 73 Street,17.0
1908,East 74 Street,28.0
1909,East 75 Street,18.0
1910,East 76 Street,33.0
1911,East 77 Street,22.0
1912,East 78 Street,27.0
1913,East 79 Street,44.0
1914,East 8 Street,46.0
1915,East 80 Street,115.0
1916,East 81 Street,29.0
1917,East 82 Street,35.0
1918,East 83 Street,49.0
1919,East 84 Street,44.0
1920,East 85 Street,52.0
1921,East 86 Street,53.0
1922,East 87 Street,31.0
1923,East 88 Street,43.0
1924,East 89 Street,29.0
1925,East 9 Street,43.0
1926,East 90 Street,23.0
1927,East 91 Street,39.0
1928,East 92 Street,91.0
1929,East 93 Street,61.0
1930,East 94 Street,84.0
1931,East 95 Street,79.0
1932,East 96 Street,143.0
1933,East 97 Street,25.0
1934,East 98 Street,95.0
1935,East 99 Street,31.0
1936,East Avenue,3.0
1937,East Bay Avenue,16.0
1938,East Broadway,38.0
1939,East Burnside Avenue,65.0
1940,East Clarke Place,6.0
1941,East Drive,19.0
1942,East End Avenue,9.0
1943,East Fordham Road,218.0
1944,East Gun Hill Road,376.0
1945,East Hampton Boulevard,2.0
1946,East Houston Street,163.0
1947,East Kingsbridge Road,33.0
1948,East Mosholu Parkway North,20.0
1949,East Mosholu Parkway South,27.0
1950,East Mount Eden Avenue,25.0
1951,East New York Avenue,170.0
1952,East Service Road,1.0
1953,East Tremont Avenue,551.0
1954,East Williston Avenue,15.0
1955,Eastburn Avenue,10.0
1956,Eastchester Road,128.0
1957,Eastern Parkway,603.0
1958,Eaton Place,1.0
1959,Ebey Lane,3.0
1960,Echo Place,1.0
1961,Eckford Avenue,3.0
1962,Eckford Street,10.0
1963,Edenwald Avenue,21.0
1964,Edgecombe Avenue,45.0
1965,Edgegrove Avenue,3.0
1966,Edgemere Avenue,19.0
1967,Edgerton Boulevard,2.0
1968,Edgewater Road,47.0
1969,Edgewater Street,1.0
1970,Edgewood Avenue,7.0
1971,Edison Avenue,15.0
1972,Edsall Avenue,1.0
1973,Edson Avenue,19.0
1974,Egbert Avenue,3.0
1975,Eggert Place,1.0
1976,Einstein Loop,7.0
1977,Elbertson Street,5.0
1978,Elder Avenue,17.0
1979,Eldert Street,13.0
1980,Elderts Lane,43.0
1981,Eldridge Street,22.0
1982,Elgar Place,1.0
1983,Eliot Avenue,84.0
1984,Elizabeth Avenue,1.0
1985,Elizabeth Street,29.0
1986,Elk Drive,4.0
1987,Ellery Street,1.0
1988,Elliot Place,9.0
1989,Ellis Avenue,15.0
1990,Ellison Avenue,1.0
1991,Ellsworth Avenue,8.0
1992,Ellwell Crescent,1.0
1993,Ellwood Street,1.0
1994,Elm Avenue,1.0
1995,Elm Place,6.0
1996,Elm Street,3.0
1997,Elmhurst Avenue,17.0
1998,Elmira Loop,2.0
1999,Elmwood Avenue,6.0
2000,Elmwood Park Drive,1.0
2001,Elsmere Place,2.0
2002,Eltingville Boulevard,1.0
2003,Elton Avenue,8.0
2004,Elton Street,58.0
2005,Ely Avenue,19.0
2006,Emerald Street,1.0
2007,Emerson Place,2.0
2008,Emmet Avenue,1.0
2009,Emmons Avenue,80.0
2010,Empire Avenue,2.0
2011,Empire Boulevard,154.0
