,filtered_street,WEIGHT
264,1954thA Rockaway Parkway,1.0
265,195thA Canal Street,1.0
266,196th Place,1.0
267,196th Street,16.0
268,196thA Flatbush Avenue,1.0
269,197th Street,34.0
270,197th-80H Peck Avenue,1.0
271,198th Street,18.0
272,199th Street,42.0
273,2nd Avenue,729.0
274,2nd Place,3.0
275,2nd Street,11.0
276,20th Avenue,162.0
277,20th Drive,1.0
278,20th Road,7.0
279,20th Street,25.0
280,200th Street,22.0
281,201st Place,5.0
282,201st Street,33.0
283,202nd Street,24.0
284,203rd Street,13.0
285,204th Street,38.0
286,205th Place,1.0
287,205th Street,24.0
288,207th Street,18.0
289,208th Place,1.0
290,208th Street,32.0
291,209th Street,20.0
292,21st Avenue,95.0
293,21st Road,1.0
294,21st Street,265.0
295,210th Street,9.0
296,211th Place,3.0
297,211th Street,23.0
298,212th Place,2.0
299,212th Street,52.0
300,213th Street,18.0
301,214th Place,5.0
302,214th Street,14.0
303,215th Place,13.0
304,215th Street,25.0
305,216th Street,10.0
306,217th Lane,1.0
307,217th Place,2.0
308,217th Street,38.0
309,218th Place,1.0
310,218th Street,21.0
311,2183rdA Ralph Avenue,2.0
312,219th Street,30.0
313,2193rdA New England Thruway,1.0
314,22nd Avenue,15.0
315,22nd Street,32.0
316,220th Place,2.0
317,220th Street,40.0
318,221st Street,39.0
319,222nd Street,54.0
320,223rd Place,1.0
321,223rd Street,53.0
322,224th Street,25.0
323,225th Street,47.0
324,226th Street,22.0
325,227th Street,19.0
326,228th Street,17.0
327,229th Street,19.0
328,23rd Avenue,106.0
329,23rd Road,6.0
330,23rd Street,46.0
331,23rd Terrace,1.0
332,230th Place,5.0
333,230th Street,12.0
334,230thB Edgewater Park,1.0
335,231st Street,20.0
336,232nd Street,14.0
337,233rd Street,17.0
338,234th Place,1.0
339,234th Street,26.0
340,235th Court,1.0
341,235th Street,6.0
342,237th Street,2.0
343,238th Street,1.0
344,239th Street,1.0
345,24th Avenue,42.0
346,24th Road,4.0
347,24th Street,36.0
348,240th Street,3.0
349,241st Street,21.0
350,242nd Street,7.0
351,243rd Street,37.0
352,244th Street,14.0
353,245th Street,3.0
354,246th Street,12.0
355,247th Street,3.0
356,248th Street,18.0
357,249th Street,35.0
358,25th Avenue,49.0
359,25th Drive,1.0
360,25th Road,13.0
361,25th Street,5.0
362,250th Street,1.0
363,251st Street,6.0
364,252nd Street,5.0
365,253rd Street,14.0
366,254th Street,9.0
367,254thB Livonia Avenue,3.0
368,255th Street,11.0
369,255thA Canal Street,1.0
370,256th Street,7.0
371,257th Street,12.0
372,258th Street,3.0
373,259th Street,17.0
374,26th Avenue,36.0
375,26th Road,3.0
376,26th Street,6.0
377,260th Street,14.0
378,261st Street,1.0
379,262nd Place,3.0
380,262nd Street,1.0
381,263rd Street,20.0
382,264th Street,6.0
383,265th Street,6.0
384,266th Street,2.0
385,267th Street,2.0
386,268th Street,11.0
387,269th Street,1.0
388,27th Avenue,22.0
