filtered_street,WEIGHT
227 Street,19.0
228 Street,17.0
229 Street,19.0
23 Avenue,106.0
23 Road,6.0
23 Street,46.0
23 Terrace,1.0
230 Place,5.0
230 Street,12.0
230B Edgewater Park,1.0
231 Street,20.0
232 Street,14.0
233 Street,17.0
234 Place,1.0
234 Street,26.0
235 Court,1.0
235 Street,6.0
237 Street,2.0
238 Street,1.0
239 Street,1.0
24 Avenue,42.0
24 Road,4.0
24 Street,36.0
240 Street,3.0
241 Street,21.0
242 Street,7.0
243 Street,37.0
244 Street,14.0
245 Street,3.0
246 Street,12.0
247 Street,3.0
248 Street,18.0
249 Street,35.0
25 Avenue,49.0
25 Drive,1.0
25 Road,13.0
25 Street,5.0
250 Street,1.0
251 Street,6.0
252 Street,5.0
253 Street,14.0
254 Street,9.0
254B Livonia Avenue,3.0
255 Street,11.0
255A Canal Street,1.0
256 Street,7.0
257 Street,12.0
258 Street,3.0
259 Street,17.0
26 Avenue,36.0
26 Road,3.0
26 Street,6.0
260 Street,14.0
261 Street,1.0
262 Place,3.0
262 Street,1.0
263 Street,20.0
264 Street,6.0
265 Street,6.0
266 Street,2.0
267 Street,2.0
268 Street,11.0
269 Street,1.0
27 Avenue,22.0
27 Road,1.0
27 Street,37.0
270 Street,2.0
271 Street,3.0
2737B Kingsbridge Terrace,1.0
28 Avenue,40.0
28 Road,2.0
28 Street,44.0
2804A 3 Avenue,3.0
29 Avenue,9.0
29 Road,2.0
29 Street,59.0
3 Avenue,1164.0
3 Avenue Bridge,3.0
3 Place,10.0
3 Street,11.0
30 Avenue,86.0
30 Drive,7.0
30 Place,14.0
30 Road,6.0
30 Street,37.0
31 Avenue,179.0
31 Drive,14.0
31 Place,3.0
31 Road,6.0
31 Street,173.0
311A Leonard Street,1.0
32 Avenue,76.0
32 Place,5.0
32 Street,21.0
324A Utica Avenue,1.0
326A 9 Street,1.0
33 Avenue,20.0
33 Road,4.0
33 Street,89.0
339A Bainbridge Street,1.0
34 Avenue,197.0
34 Road,3.0
34 Street,38.0
344B Maujer Street,1.0
34H Saint Marks Place,1.0
35 Avenue,137.0
35 Street,61.0
3555A White Plains Road,3.0
358E East 112 Street,1.0
35A Prospect Place,1.0
36 Avenue,42.0
36 Road,5.0
36 Street,46.0
37 Avenue,223.0
37 Drive,4.0
37 Road,2.0
37 Street,106.0
37-52A College Point Boulevard,1.0
38 Avenue,66.0
38 Street,54.0
386B Chauncey Street,1.0
39 Avenue,88.0
39 Place,1.0
39 Road,2.0
39 Street,111.0
39A Gramercy Park North,1.0
4 Avenue,310.0
4 Place,3.0
4 Street,15.0
40 Avenue,31.0
40 Drive,1.0
40 Road,16.0
40 Street,52.0
41 Avenue,84.0
41 Road,9.0
41 Street,56.0
41A Grand Street,1.0
42 Avenue,35.0
42 Place,2.0
42 Road,5.0
42 Street,70.0
42-96A Main Street,1.0
43 Avenue,114.0
43 Street,95.0
44 Avenue,18.0
44 Drive,13.0
44 Road,1.0
44 Street,74.0
45 Avenue,66.0
45 Drive,3.0
45 Road,8.0
45 Street,76.0
46 Avenue,36.0
46 Road,5.0
46 Street,81.0
460N Brielle Avenue,1.0
47 Avenue,42.0
47 Road,1.0
47 Street,78.0
48 Avenue,54.0
48 Street,100.0
49 Avenue,16.0
49 Lane,1.0
49 Street,81.0
5 Avenue,672.0
5 Street,18.0
50 Avenue,31.0
50 Street,55.0
504B East 98 Street,1.0
51 Avenue,56.0
51 Road,4.0
51 Street,82.0
5104A Post Road,1.0
52 Avenue,10.0
52 Court,1.0
52 Drive,2.0
52 Road,2.0
52 Street,42.0
53 Avenue,16.0
53 Drive,1.0
53 Place,1.0
53 Street,34.0
530F Grand Street,1.0
535A 6 Avenue,1.0
54 Avenue,20.0
54 Road,3.0
54 Street,38.0
545A Quincy Street,1.0
55 Avenue,38.0
55 Drive,5.0
55 Road,5.0
55 Street,57.0
56 Avenue,30.0
56 Drive,10.0
56 Road,33.0
56 Street,44.0
57 Avenue,55.0
57 Drive,6.0
57 Road,10.0
57 Street,59.0
58 Avenue,21.0
58 Drive,1.0
58 Lane,3.0
58 Place,3.0
58 Road,17.0
58 Street,116.0
585A Lafayette Avenue,1.0
59 Avenue,26.0
59 Drive,5.0
59 Place,5.0
59 Road,3.0
59 Street,82.0
6 Avenue,116.0
6 Street,21.0
60 Avenue,16.0
60 Drive,5.0
60 Lane,7.0
60 Place,8.0
60 Road,6.0
60 Street,150.0
61 Avenue,14.0
61 Drive,1.0
61 Road,4.0
61 Street,73.0
616A Macdonough Street,1.0
62 Avenue,8.0
62 Drive,21.0
62 Road,4.0
62 Street,49.0
63 Avenue,22.0
63 Drive,29.0
63 Road,13.0
63 Street,36.0
64 Avenue,36.0
64 Circle,1.0
64 Place,4.0
64 Road,15.0
64 Street,83.0
64-15A 186 Lane,1.0
64-15E 186 Lane,1.0
65 Avenue,17.0
65 Place,38.0
65 Road,6.0
65 Street,259.0
66 Avenue,16.0
66 Place,2.0
66 Road,7.0
66 Street,77.0
67 Avenue,26.0
67 Drive,7.0
67 Place,4.0
67 Road,16.0
67 Street,46.0
67-06K 186 Lane,1.0
67-35B 186 Lane,1.0
68 Avenue,26.0
68 Drive,8.0
68 Place,5.0
68 Road,20.0
68 Street,65.0
69 Avenue,41.0
69 Drive,2.0
69 Lane,5.0
69 Place,11.0
69 Road,25.0
69 Street,143.0
7 Avenue,582.0
7 Avenue South,37.0
7 Street,16.0
70 Avenue,12.0
70 Road,16.0
70 Street,71.0
71 Avenue,61.0
71 Place,1.0
71 Road,6.0
71 Street,67.0
711C Seagirt Avenue,1.0
72 Avenue,24.0
72 Drive,5.0
72 Place,6.0
72 Road,3.0
72 Street,48.0
73 Avenue,75.0
73 Place,15.0
73 Street,72.0
736A East 233 Street,1.0
73B Visitation Place,1.0
74 Avenue,8.0
74 Street,73.0
75 Avenue,36.0
75 Place,1.0
75 Road,4.0
75 Street,30.0
76 Avenue,26.0
76 Drive,1.0
76 Road,4.0
76 Street,85.0
77 Avenue,22.0
77 Crescent,1.0
77 Road,11.0
77 Street,77.0
77A Richmond Hill Road,1.0
78 Avenue,31.0
78 Road,7.0
78 Street,118.0
79 Avenue,15.0
79 Lane,1.0
79 Place,3.0
79 Street,95.0
8 Avenue,695.0
8 Street,23.0
80 Avenue,9.0
80 Road,6.0
80 Street,148.0
81 Avenue,35.0
81 Road,1.0
81 Street,102.0
82 Avenue,29.0
82 Drive,1.0
82 Place,1.0
82 Road,5.0
82 Street,117.0
83 Avenue,6.0
83 Place,6.0
83 Street,49.0
84 Avenue,11.0
84 Drive,16.0
84 Place,5.0
84 Road,6.0
84 Street,102.0
845A East 222 Street,1.0
85 Avenue,38.0
85 Drive,8.0
85 Road,9.0
85 Street,105.0
86 Avenue,30.0
86 Crescent,1.0
86 Road,6.0
86 Street,295.0
860A Remsen Avenue,1.0
860A Willoughby Avenue,1.0
87 Avenue,22.0
87 Drive,3.0
87 Road,16.0
87 Street,29.0
88 Avenue,30.0
88 Lane,1.0
88 Road,4.0
88 Street,87.0
89 Avenue,83.0
89 Road,1.0
89 Street,51.0
9 Avenue,282.0
9 Street,41.0
90 Avenue,37.0
90 Road,1.0
90 Street,67.0
91 Avenue,64.0
91 Place,1.0
91 Street,45.0
92 Avenue,11.0
92 Street,84.0
93 Avenue,39.0
93 Road,3.0
93 Street,42.0
94 Avenue,28.0
94 Drive,1.0
94 Road,1.0
94 Street,103.0
95 Avenue,62.0
95 Street,57.0
96 Avenue,1.0
96 Street,45.0
97 Avenue,33.0
97 Place,10.0
97 Street,91.0
98 Place,1.0
98 Street,59.0
99 Avenue,44.0
99 Place,1.0
99 Street,114.0
A 14 Street,1.0
A Flatbush Avenue,1.0
A Lafayette Avenue,3.0
A Moultrie Street,1.0
Aaron Lane,1.0
Abbey Court,1.0
Abbot Street,1.0
Aberdeen Street,1.0
Abingdon Avenue,4.0
Abingdon Road,7.0
Academy Place,4.0
Academy Street,10.0
Ada Drive,1.0
Adams Avenue,5.0
Adams Place,5.0
Adams Street,49.0
Adee Avenue,49.0
Adelphi Street,12.0
Adler Place,1.0
Adlers Lane,1.0
Admiral Avenue,1.0
Adrian Avenue,3.0
Agar Place,3.0
Agnes Place,1.0
Aguilar Avenue,3.0
Ainslie Street,17.0
Akron Street,1.0
Alabama Avenue,48.0
Alaska Street,8.0
Albany Avenue,169.0
Albany Crescent,9.0
Albany Street,8.0
Albee Avenue,1.0
Albemarle Road,39.0
Albert Road,7.0
Albion Avenue,4.0
Alcott Place,6.0
Alcott Street,1.0
Alderton Street,15.0
Aldrich Street,1.0
Aldus Street,5.0
Alexander Avenue,23.0
Alexander Hamilton Bridge,4.0
Allen Avenue,2.0
Allen Street,49.0
Allendale Street,3.0
Allerton Avenue,103.0
Alley Park,1.0
Allison Avenue,1.0
Almeda Avenue,6.0
Alstyne Avenue,8.0
Altavista Court,1.0
Amador Street,2.0
Amber Street,2.0
Amboy Road,105.0
Amboy Street,29.0
Amersfort Place,2.0
Amethyst Street,1.0
Amherst Avenue,3.0
Amherst Street,1.0
Amity Place,7.0
Amity Street,3.0
Ampere Avenue,4.0
Amsterdam Avenue,444.0
Amundson Avenue,4.0
Anderson Avenue,21.0
Anderson Road,1.0
Anderson Street,3.0
Andrea Place,1.0
Andrews Avenue,26.0
Andrews Street,3.0
Andros Avenue,1.0
Ann Street,6.0
Annadale Road,23.0
Anthony Avenue,39.0
Anthony Street,8.0
Apollo Street,7.0
Appleby Avenue,1.0
Applegate Court,1.0
Aqueduct Avenue,20.0
Arbutus Avenue,1.0
Arcade Avenue,1.0
Archer Avenue,41.0
Archer Road,1.0
Archer Street,7.0
Arden Avenue,53.0
Arden Street,4.0
Ardsley Loop,1.0
Argyle Road,15.0
